Data,%,Ocupadas
08-07-2015,95.31,61
09-07-2015,53.13,34
10-07-2015,31.25,20
11-07-2015,28.13,18
12-07-2015,23.44,15
13-07-2015,62.50,40
14-07-2015,75.00,48
15-07-2015,85.94,55
16-07-2015,50.00,32
17-07-2015,28.13,18
18-07-2015,32.81,21
19-07-2015,17.19,11
20-07-2015,53.13,34
21-07-2015,79.69,51
22-07-2015,68.75,44
23-07-2015,64.06,41
24-07-2015,56.25,36
25-07-2015,25.00,16
26-07-2015,12.50,8
27-07-2015,56.25,36
28-07-2015,65.63,42
29-07-2015,81.25,52
30-07-2015,87.50,56
31-07-2015,21.88,14
01-08-2015,62.50,40
02-08-2015,12.50,8
03-08-2015,51.56,33
04-08-2015,85.94,55
05-08-2015,73.44,47
06-08-2015,84.38,54
07-08-2015,23.44,15
08-08-2015,23.44,15
09-08-2015,15.63,10
10-08-2015,62.50,40
11-08-2015,60.94,39
12-08-2015,81.25,52
13-08-2015,64.06,41
14-08-2015,18.75,12
15-08-2015,45.31,29
16-08-2015,12.50,8
17-08-2015,60.94,39
18-08-2015,62.50,40
19-08-2015,64.06,41
20-08-2015,54.69,35
21-08-2015,37.50,24
22-08-2015,23.44,15
23-08-2015,17.19,11
24-08-2015,65.63,42
25-08-2015,79.69,51
26-08-2015,67.19,43
27-08-2015,56.25,36
28-08-2015,18.75,12
29-08-2015,9.38,6
30-08-2015,4.69,3
31-08-2015,50.00,32
01-09-2015,81.25,52
02-09-2015,81.25,52
03-09-2015,93.75,60
04-09-2015,42.19,27
05-09-2015,46.88,30
06-09-2015,21.88,14
07-09-2015,25.00,16
08-09-2015,46.88,30
09-09-2015,95.31,61
10-09-2015,98.44,63
11-09-2015,89.06,57
12-09-2015,96.88,62
13-09-2015,60.94,39
14-09-2015,57.81,37
15-09-2015,85.94,55
16-09-2015,70.31,45
17-09-2015,84.38,54
18-09-2015,31.25,20
19-09-2015,42.19,27
20-09-2015,15.63,10
21-09-2015,67.19,43
22-09-2015,76.56,49
23-09-2015,54.69,35
24-09-2015,65.63,42
25-09-2015,23.44,15
26-09-2015,20.31,13
27-09-2015,21.88,14
28-09-2015,40.63,26
29-09-2015,79.69,51
30-09-2015,59.38,38
01-10-2015,59.38,38
02-10-2015,53.13,34
03-10-2015,25.00,16
04-10-2015,17.19,11
05-10-2015,65.63,42
06-10-2015,67.19,43
07-10-2015,59.38,38
08-10-2015,42.19,27
09-10-2015,40.63,26
10-10-2015,46.88,30
11-10-2015,17.19,11
12-10-2015,26.56,17
13-10-2015,73.44,47
14-10-2015,98.44,63
15-10-2015,65.63,42
16-10-2015,48.44,31
17-10-2015,21.88,14
18-10-2015,14.06,9
19-10-2015,43.75,28
20-10-2015,79.69,51
21-10-2015,64.06,41
22-10-2015,82.81,53
23-10-2015,28.13,18
24-10-2015,40.63,26
25-10-2015,31.25,20
26-10-2015,62.50,40
27-10-2015,85.94,55
28-10-2015,100.00,64
29-10-2015,45.31,29
30-10-2015,34.38,22
31-10-2015,98.44,63
01-11-2015,28.13,18
